iter	MultiClass
0	1.793506746
1	1.678325616
2	1.588957222
3	1.515964149
4	1.45827201
5	1.408467866
6	1.36842456
7	1.332076778
8	1.303170141
9	1.275574432
10	1.252180158
11	1.231173004
12	1.21457255
13	1.199171011
14	1.185783509
15	1.172575384
16	1.161073528
17	1.152419166
18	1.142825558
19	1.134058117
20	1.124932919
21	1.118350121
22	1.112387371
23	1.107075825
24	1.102239289
25	1.096667763
26	1.092373002
27	1.087558096
28	1.082678091
29	1.078703598
30	1.075330171
31	1.072685381
32	1.069074598
33	1.066295402
34	1.062541562
35	1.060390067
36	1.057339159
37	1.054613514
38	1.052598774
39	1.051513085
40	1.049066588
41	1.04612323
42	1.044775685
43	1.042969195
44	1.041263142
45	1.039383313
46	1.037341655
47	1.035915387
48	1.034797106
49	1.03251678
50	1.029992136
51	1.028196473
52	1.027031574
53	1.025096598
54	1.024152276
55	1.022141414
56	1.021426855
57	1.020574774
58	1.019939301
59	1.017990809
60	1.017278735
61	1.015927062
62	1.015207765
63	1.013935856
64	1.013039299
65	1.011955698
66	1.010679661
67	1.009623299
68	1.008097943
69	1.007365791
70	1.006893126
71	1.006317194
72	1.004155497
73	1.00323915
74	1.001649766
75	1.000074147
76	0.9989447542
77	0.9978219942
78	0.9969128487
79	0.9963435575
80	0.9950321992
81	0.9941212092
82	0.9922099247
83	0.9914557661
84	0.9908030101
85	0.9887821023
86	0.9874709125
87	0.9861883805
88	0.9858547905
89	0.985195905
90	0.984444705
91	0.9834315928
92	0.9826501405
93	0.9818248294
94	0.9814173578
95	0.9805340693
96	0.9793987743
97	0.9779746895
98	0.9768918144
99	0.976257829
