iter	Passed	Remaining
0	3	378
1	7	364
2	11	362
3	14	348
4	19	374
5	25	393
6	31	416
7	37	431
8	45	461
9	49	444
10	52	423
11	56	414
12	60	406
13	64	393
14	67	380
15	70	371
16	75	367
17	78	356
18	81	346
19	84	337
20	89	335
21	92	329
22	95	320
23	98	313
24	101	305
25	106	302
26	109	295
27	112	288
28	116	284
29	119	278
30	124	276
31	127	270
32	130	264
33	133	259
34	137	256
35	141	251
36	144	246
37	149	244
38	167	261
39	170	256
40	174	251
41	177	244
42	180	239
43	183	234
44	188	229
45	191	224
46	194	219
47	197	214
48	200	208
49	203	203
50	206	198
51	209	193
52	211	187
53	214	182
54	218	179
55	221	174
56	224	169
57	227	164
58	229	159
59	233	155
60	236	151
61	239	146
62	242	142
63	244	137
64	247	133
65	251	129
66	254	125
67	257	121
68	259	116
69	262	112
70	265	108
71	268	104
72	271	100
73	274	96
74	276	92
75	279	88
76	283	84
77	286	80
78	289	77
79	292	73
80	295	69
81	299	65
82	302	62
83	305	58
84	308	54
85	311	50
86	315	47
87	318	43
88	321	39
89	324	36
90	326	32
91	330	28
92	333	25
93	336	21
94	338	17
95	341	14
96	344	10
97	348	7
98	351	3
99	353	0
